"Symbol","LTP","%Chng","Volume"
"NESTLEIND","16,390.75","-0.99","59,221"
"TATASTEEL","430.55","-0.91","80,05,739"
"HCLTECH","709.80","-0.65","35,14,227"
"CIPLA","759.95","-0.64","43,15,274"
"BRITANNIA","3,889.95","-0.62","3,52,263"
